Socket:
1	7.87e-07	8.48e-07	8.44e-07	8.64e-07	8.54e-07	8.67e-07	8.48e-07	8.74e-07	
2	8.33e-07	8.63e-07	8.62e-07	8.85e-07	8.77e-07	8.87e-07	8.77e-07	8.84e-07	
4	9.26e-07	9.67e-07	9.88e-07	9.90e-07	9.89e-07	1.00e-06	9.88e-07	1.01e-06	
8	8.83e-07	9.03e-07	9.07e-07	9.15e-07	9.29e-07	9.29e-07	9.32e-07	9.26e-07	
16	9.21e-07	9.12e-07	9.29e-07	9.50e-07	9.57e-07	9.60e-07	9.56e-07	9.54e-07	
32	9.44e-07	9.81e-07	1.00e-06	1.01e-06	1.01e-06	1.01e-06	1.02e-06	1.00e-06	
64	1.04e-06	1.08e-06	1.11e-06	1.11e-06	1.12e-06	1.12e-06	1.15e-06	1.17e-06	
128	1.26e-06	1.28e-06	1.32e-06	1.33e-06	1.33e-06	1.33e-06	1.35e-06	1.35e-06	
256	1.56e-06	1.60e-06	1.64e-06	1.67e-06	1.68e-06	1.65e-06	1.70e-06	1.69e-06	
512	2.19e-06	2.21e-06	2.36e-06	2.41e-06	2.42e-06	2.41e-06	2.41e-06	2.42e-06	
1024	3.32e-06	3.39e-06	3.52e-06	3.57e-06	3.58e-06	3.57e-06	3.57e-06	3.58e-06	
2048	5.59e-06	5.83e-06	5.95e-06	6.00e-06	5.99e-06	5.96e-06	5.98e-06	5.98e-06	
4096	8.12e-06	8.43e-06	8.86e-06	9.01e-06	9.01e-06	9.00e-06	9.01e-06	9.01e-06	
8192	1.30e-05	1.33e-05	1.36e-05	1.38e-05	1.38e-05	1.39e-05	1.39e-05	1.39e-05	
16384	2.34e-05	2.38e-05	2.44e-05	2.47e-05	2.53e-05	2.36e-05	2.53e-05	2.54e-05	
32768	4.29e-05	4.44e-05	4.50e-05	4.69e-05	4.52e-05	4.54e-05	4.73e-05	4.51e-05	
65536	8.34e-05	8.63e-05	8.57e-05	8.86e-05	8.73e-05	8.79e-05	8.84e-05	8.87e-05	
1	7.94e-07	8.23e-07	8.25e-07	8.54e-07	8.52e-07	8.68e-07	8.65e-07	8.59e-07	
